4.71	15.00	10.50	10.50
4.72	15.00	10.54	10.46
4.74	15.00	10.56	10.44
4.75	15.00	10.60	10.40
4.76	15.00	10.62	10.38
4.78	14.99	10.67	10.34
4.79	14.99	10.71	10.30
4.80	14.99	10.73	10.28
4.81	14.98	10.77	10.24
4.83	14.98	10.80	10.22
4.84	14.98	10.84	10.18
4.85	14.97	10.88	10.15
4.86	14.97	10.90	10.13
4.88	14.96	10.95	10.09
4.89	14.96	10.97	10.07
4.90	14.95	11.02	10.04
4.91	14.94	11.04	10.02
4.93	14.93	11.08	9.98
4.94	14.92	11.13	9.95
4.95	14.92	11.15	9.93
4.96	14.90	11.20	9.90
4.98	14.90	11.22	9.88
4.99	14.89	11.27	9.85
5.00	14.87	11.31	9.82
5.01	14.87	11.33	9.80
5.03	14.85	11.38	9.77
5.04	14.84	11.40	9.75
5.05	14.83	11.45	9.72
5.06	14.81	11.50	9.69
5.08	14.80	11.52	9.67
5.09	14.79	11.57	9.65
5.10	14.78	11.59	9.63
5.11	14.76	11.64	9.60
5.13	14.74	11.68	9.57
5.14	14.73	11.71	9.56
5.15	14.71	11.76	9.53
5.16	14.70	11.78	9.52
5.18	14.68	11.83	9.49
5.19	14.67	11.85	9.48
5.20	14.65	11.90	9.45
5.22	14.63	11.94	9.43
5.23	14.61	11.97	9.42
5.24	14.59	12.02	9.39
5.25	14.58	12.04	9.38
5.27	14.55	12.09	9.36
5.28	14.53	12.13	9.34
5.29	14.52	12.16	9.33
5.30	14.49	12.21	9.31
5.32	14.48	12.23	9.30
5.33	14.45	12.28	9.28
5.34	14.42	12.32	9.26
5.35	14.41	12.35	9.25
5.37	14.38	12.39	9.23
5.38	14.36	12.42	9.22
5.39	14.33	12.46	9.20
5.40	14.30	12.51	9.18
5.42	14.29	12.53	9.18
5.43	14.26	12.58	9.16
5.44	14.24	12.60	9.15
5.45	14.21	12.65	9.14
5.47	14.18	12.70	9.12
5.48	14.16	12.72	9.12
5.49	14.13	12.76	9.11
5.50	14.11	12.79	9.10
5.52	14.08	12.83	9.09
5.53	14.06	12.86	9.08
5.54	14.03	12.90	9.07
5.55	13.99	12.95	9.06
5.57	13.97	12.97	9.06
5.58	13.94	13.01	9.05
5.59	13.92	13.04	9.04
5.60	13.88	13.08	9.04
